File solutions/grasp/moba/cosine_cmc_4_50.csv,,,,,,,,,,,,,
elapsed_time,max_gen_reached,,,,,,,,,,,,
1491.821821,False,,,,,,,,,,,,
alpha,const,corr_threshold,dt,elsize,k,lang,max_iter,max_no_improv,maxs,metric,mins,seed,verbose
4,2,0.75,2,10,10,en,50,0.2,6,c,3,-1,False
Elite,,,,,,,,,,,,,
evaluation,0,1,2,3,4,5,6,7,8,,,,
0.191248,0,1,0,0,0,1,0,0,1,,,,
0.191051,0,1,0,1,0,1,0,0,0,,,,
0.178954,0,1,1,1,0,1,0,0,0,,,,
0.171800,0,1,1,0,0,1,0,0,1,,,,
0.159068,1,1,0,1,0,1,0,0,0,,,,
0.140741,1,1,1,0,0,1,0,0,1,,,,
0.136412,1,1,0,0,0,1,0,1,0,,,,
0.136123,1,1,1,0,0,1,0,0,0,,,,
0.124148,0,1,1,0,0,1,1,0,0,,,,
0.113098,1,1,1,0,0,1,1,0,0,,,,
Mean,Std,It_total,It_best,Number_solutions_hash,Hash_access,Hash_add,,,,,,,
0.15426,0.02663,25,14,124,492,124,,,,,,,
